symbol,sector
HCLTECH,Unknown
HDFCBANK,Unknown
HDFCLIFE,Unknown
HEROMOTOCO,Unknown
HINDALCO,Unknown
HINDUNILVR,Unknown
ICICIBANK,Unknown
INDUSINDBK,Unknown
INFY,Technology
ITC,Unknown
JIOFIN,Unknown
JSWSTEEL,Unknown
KOTAKBANK,Unknown
LT,Unknown
M&M,Unknown
MARUTI,Unknown
NESTLEIND,Unknown
NTPC,Unknown
ONGC,Unknown
POWERGRID,Unknown
RELIANCE,Unknown
SBILIFE,Unknown
SHRIRAMFIN,Unknown
SUNPHARMA,Unknown
TCS,Unknown
TATACONSUM,Unknown
TATAMOTORS,Unknown
TATASTEEL,Unknown
TECHM,Unknown
TITAN,Unknown
TRENT,Unknown
ULTRACEMCO,Unknown
WIPRO,Unknown
BHARTIARTL,Unknown
SBIN,Unknown
BAJFINANCE,Unknown
ASIANPAINT,Unknown
DMART,Unknown
AXISBANK,Unknown
BAJAJFINSV,Unknown
ADANIPORTS,Unknown
DRREDDY,Unknown
CIPLA,Unknown
COALINDIA,Unknown
GRASIM,Unknown
BRITANNIA,Unknown
EICHERMOT,Unknown
DIVISLAB,Unknown
BAJAJ-AUTO,Unknown
SHREECEM,Unknown
UPL,Unknown
APOLLOHOSP,Unknown
VEDL,Unknown
BPCL,Unknown
ADANIENT,Unknown
BEL,Unknown
ETERNAL,Unknown
