source,title,description,publish_datetime,sentiment,symbol
economictimes,"Nifty drain jewels? TCS, Infosys, DMart among 5 biggies with zero returns in last four years","Once market favourites, TCS, Infosys, DMart, Asian Paints and HUL have delivered flat or negative returns over the past four years despite strong fundamentals.",2025-09-27 05:35:03,negative,TCS
economictimes,Smart picks: 5 IPOs that could offer up to 20% returns next week,"A handful of IPOs lined up for debut next week are indicating potential double-digit returns, with some tipped to deliver up to 20% gains on listing day.",2025-09-27 05:30:27,positive,ARVSMART
economictimes,"European shares recover from three-week lows, but weekly momentum fizzles","European stocks rebounded Friday, with the STOXX 600 gaining 0.8%, largely driven by financials and industrials. Steel producers surged on reports of potential EU tariffs against Chinese imports. Healthcare stocks ended flat despite new US drug tariffs, as the impact was already priced in. US inflation data eased fears of delayed rate cuts, while InterContinental Hotels Group saw significant gains.",2025-09-27 04:27:40,positive,AAREYDRUGS
economictimes,"Pharma Index Down 2%, but Selloff could be an 'Exaggeration'","Nifty's Pharma index saw a decline after US President Trump announced a 100 percent tariff on branded drugs from October 1. Analysts noted India's limited exposure to patented drugs in the US market. Most Indian firms focus on generic medicines, which are not affected by the new tariff. Major Indian players also operate manufacturing facilities within the United States.",2025-09-27 04:04:30,negative,General
economictimes,Bears capture spooked D-Street for 6th session running,"Indian equity indices extended their longest losing streak in FY26 for a sixth consecutive session, driven by new US tariffs on drugs and trucks, increased H-1B visa fees, and Accenture's cautious outlook. This battered investor sentiment, leading to broad-based selling across sectors and a surging fear gauge. The rupee also traded near its record low.",2025-09-27 03:59:09,negative,General
economictimes,"US stocks end higher after as-expected inflation data; S&amp;P 500, Nasdaq post weekly declines","US stocks closed higher Friday on expected inflation data, yet posted weekly losses, ending winning streaks for S&amp;P 500 and Nasdaq. Investors are weighing the Federal Reserve's future rate cuts against a stronger economy and upcoming earnings season. New tariffs and mixed signals from Fed officials added to market uncertainty, with key employment data due next week.",2025-09-27 03:48:24,negative,General
economictimes,"Wall Street Week Ahead: Investors look to jobs data to support rate-cut path, pricey stock market",Next week's U.S. jobs data holds significance for markets. It needs to indicate a cooling labor market. This supports further interest rate cuts. It must not trigger recession concerns. The Federal Reserve plans more rate reductions this year. High stock valuations create market vulnerability. A potential government shutdown also looms.,2025-09-27 03:46:16,negative,General
economictimes,Big US pharma stocks rise as Street reacts to Trump's tariff on drugs,President Trump announced new 100 percent import taxes on branded pharmaceuticals. These tariffs begin October 1. Companies building US manufacturing plants will be exempt. Major drugmakers like Merck and Lilly saw slight share increases. Analysts predict minimal impact on large firms. Smaller drugmakers might face vulnerability. Generic medicines remain unaffected by this new policy.,2025-09-26 16:37:38,positive,General
economictimes,VIP Industries' promoter entities sell stake worth Rs 343 crore via bulk deals,"VIP Industries' promoter entities sold stakes worth Rs 343 crore via bulk deals at a 9% discount, with Multiples Private Equity and Samvibhag Securities among the buyers. The company's shares closed down 4.01% on Friday, continuing a 28% decline over the past year amidst a recent net loss.",2025-09-26 16:33:58,negative,General
economictimes,"Crisil upgrades Muthoot Microfin outlook to positive, reaffirms A+ rating","Crisil Ratings revised Muthoot Microfin’s outlook to ‘positive’ from ‘stable’, reaffirming ‘A+’ rating. Despite asset quality stress, strong collections, adequate provisioning, and continued parent support underpin the microfinance lender’s stability and resilience in FY26.",2025-09-26 16:00:13,positive,General
economictimes,"Daimler Truck, Traton shares fall on Trump's truck tariffs","Shares in Germany's Daimler Truck and Traton fell on Friday after U.S. President Donald Trump announced tariffs on heavy-duty trucks, adding to trade tensions that have hit the automotive sector hard.",2025-09-26 14:35:03,negative,General
economictimes,US stocks tick higher after inflation data calms rate-cut jitters,"US stocks are rising today, recovering earlier losses. An inflation report met economists' expectations. This boosts hopes for future Federal Reserve rate cuts. President Donald Trump announced new tariffs on various imports. These tariffs start in October. Some companies like Paccar and Eli Lilly gained. Others like Williams-Sonoma and Costco saw declines.",2025-09-26 13:34:22,negative,General
economictimes,"NCDEX shareholders approve Rs 770 crore preferential issue to fund equity, equity derivatives launch","NCDEX secured shareholder approval to issue Rs 770 crore worth of shares, marking a key step toward launching equity and derivatives segments by 2026, strengthening its multi-asset exchange vision.",2025-09-26 12:56:36,positive,General
economictimes,"FIIs set to return to India after 12-month absence, says HSBC; picks 11 stocks","HSBC upgraded India to ‘Overweight’ and expects FIIs to return after 12 months, citing attractive valuations, policy support, resilient flows, and easing global conditions. It named 11 top stock picks across sectors.",2025-09-26 12:51:51,positive,General
economictimes,Valuation check: 8 largecap stocks trade above Industry PE benchmarks,"Seven NSE large-cap stocks, including CG Power, JIO Financial, Adani Green, and HDFC Life, trade at significantly higher P/E ratios than their industry averages, signaling premium valuations, growth expectations, or potential overvaluation risks.",2025-09-26 12:36:16,positive,General
economictimes,"ET Market Watch: 5 reasons why Sensex crashed 733 pts &amp; Nifty slipped below 24,700",,2025-09-26 12:22:44,negative,General
economictimes,Ambani vs Adani: India’s desert war for ‘green gold’,,2025-09-26 12:17:42,neutral,General
economictimes,"Indo Thai Securities, Netweb Tech, 8 other stocks hit 52-week highs and rally up to 60% in a month","Despite the Sensex falling 733 points to 80,426 on Friday, 10 BSE Smallcap stocks hit fresh 52-week highs, showcasing strong momentum with notable monthly gains ranging from 6% to 60%.",2025-09-26 12:13:09,positive,INDOTHAI
economictimes,"Kidnapping of promoter's son, ransom and Rs 200-crore wipeout! SEBI unmasks Seacoast Shippings’ ultimate shock twist","Seacoast Shipping misused Rs 48 crore rights issue funds to pay ransom, while fabricating revenues and assets to mislead investors. SEBI’s probe revealed fake trades, sham governance, and massive equity dilution. Shares crashed to Rs 1.48, erasing Rs 200 crore. SEBI banned directors and ordered restitution.",2025-09-26 11:43:40,negative,General
economictimes,M&amp;M Share Price Live Updates: M&amp;M Stock Price and Monthly Returns,,2025-09-29 02:40:24,neutral,General
economictimes,HUL Share Price Live Updates: HUL's Market Update,,2025-09-29 02:40:06,neutral,General
economictimes,Madhu Kela family hiked stake in this smallcap stock that has rallied 80% in 2025. Do you own?,"GRM Overseas attracted marquee investors like Nikhil Vora and the Madhu Kela family, who raised stakes after promoters sold 2.65% for Rs 58 crore. The company is pivoting toward packaged foods through its fast-growing subsidiary, GRM Foodkraft. Shares surged 80% in 2025, supported by strong revenues, rice exports, and expansion initiatives.",2025-09-26 11:33:08,positive,GRMOVER
economictimes,"Titan Company’s weak Q2 provides good entry point, says Nomura after initiating coverage with Buy rating","Nomura initiates Buy on Titan Company with a target of Rs 4,275, citing growth from rising affluent consumers, wedding jewellery, and global expansion. Despite near-term headwinds from high gold prices and lab-grown diamond competition, the brokerage expects 18–19% CAGRs in sales and EBIT over FY26–28.",2025-09-26 11:26:03,positive,General
economictimes,"Gainers &amp; Losers: OFSS, Waaree among 6 stocks in the spotlight on Friday",,2025-09-26 11:12:37,positive,General
economictimes,Parijat Industries files DRHP with SEBI for Rs 160 crore IPO,"Parijat Industries has filed DRHP with SEBI to raise Rs 160 crore via IPO. Proceeds will primarily repay borrowings, while strong domestic and global presence supports its agrochemical growth story.",2025-09-26 11:10:43,positive,General
economictimes,Gurmeet Chadha's stock market mantra is stay in the game. Sees these 2 things to reverse trends,"Gurmeet Chadha urges investors to stay invested despite FII-led correction, citing double-digit earnings growth and reforms as trend reversals. Markets fell amid heavy foreign selling and U.S. tariff announcements.",2025-09-26 09:59:30,negative,General
economictimes,Raymond Lifestyle shares slide 4% as Income Tax Department conducts survey at offices and units,"Raymond Lifestyle shares fell 4.2% to Rs 1,200.55 after the Income Tax Department conducted surveys at its offices and plants, triggering investor caution despite recent short-term gains.",2025-09-26 09:46:19,negative,General
economictimes,"CarTrade shares more than double in 1 year. Elara sees 36% upside, here's why","CarTrade Tech surged nearly 8% to Rs 2,648.25, extending a 146% rally, after Elara Capital’s ‘buy’ call with a Rs 3,590 target and Norway’s wealth fund stake boosted investor sentiment.",2025-09-26 09:31:03,positive,CARTRADE
economictimes,1 year since Nifty’s all-time high: Index falls just 5% but portfolios bleed with double-digit losses,"One year since Nifty 50’s record high of 26,277, the index has slipped just 5.5%. However, SAMCO Securities warns retail investors faced steeper pain, with most mid, small, and microcap stocks significantly underperforming.",2025-09-26 09:15:50,negative,General
economictimes,"Why stock market fell today: Sensex tumbles 733 pts, Nifty below 24,700; 5 key factors behind the bloodbath","Stock Market Crash: Indian stock markets faced a sharp decline on Friday. This occurred after US President Donald Trump declared significant tariffs. These tariffs, reaching up to 100%, will affect branded and patented drug imports. The new tariffs are scheduled to take effect from October 1, 2025. The Sensex and Nifty50 both experienced considerable drops following this announcement.",2025-09-26 08:43:26,negative,General
economictimes,"7 largecap laggards: Big drops in CY25, but up to 40% upside potential ahead",,2025-09-26 08:40:01,negative,General
economictimes,Japan's Topix posts record-high close despite US tariffs on pharma,"Japan's broad Topix index closed at an all-time high on Friday, despite pressure from pharmaceutical shares following new tariffs on the sector from the White House overnight.",2025-09-26 07:55:52,positive,General
