title,link,date
Tata Capital IPO Day 2: Check latest GMP and subscription figures. Should you bid?,https://economictimes.indiatimes.com/markets/ipos/fpos/tata-capital-ipo-day-2-check-latest-gmp-and-subscription-figures-should-you-bid/articleshow/124353555.cms,2025-10-07 04:43:35
"Trent shares slide 4% after weaker-than-expected Q2 business update. Should you buy, sell or hold?",https://economictimes.indiatimes.com/markets/stocks/news/trent-shares-slide-4-after-weaker-than-expected-q2-business-update-should-you-buy-sell-or-hold/articleshow/124353459.cms,2025-10-07 04:38:03
Fabtech Technologies shares list flat at IPO price of Rs 191 on exchanges,https://economictimes.indiatimes.com/markets/stocks/news/fabtech-technologies-shares-list-flat-at-ipo-price-of-rs-191-on-bse-nse/articleshow/124353323.cms,2025-10-07 04:37:10
"Political shift spurs Yen weakness, markets anticipate stimulus",https://economictimes.indiatimes.com/markets/stocks/news/political-shift-spurs-yen-weakness-markets-anticipate-stimulus/slideshow/124353559.cms,2025-10-07 04:37:03
5 Nifty stocks with fresh buy calls that could offer up to 19% return,https://economictimes.indiatimes.com/markets/stocks/news/5-nifty-stocks-with-fresh-buy-calls-that-could-offer-up-to-19-return/slideshow/124353397.cms,2025-10-07 04:31:00
LG &amp; Tata Capital scream for attention in a crowded IPO market. Which is a better investment for you?,https://economictimes.indiatimes.com/markets/stocks/news/lg-tata-capital-scream-for-attention-in-a-crowded-ipo-market-which-is-a-better-investment-for-you/articleshow/124353264.cms,2025-10-07 04:27:11
"WeWork India IPO Day 3: Check GMP, subscription status and key details. Should you apply?",https://economictimes.indiatimes.com/markets/ipos/fpos/wework-india-ipo-day-3-check-gmp-subscription-status-and-key-details-should-you-apply/articleshow/124353182.cms,2025-10-07 04:21:19
LTIMindtree shares in focus after clinching largest multi-year deal in its history,https://economictimes.indiatimes.com/markets/stocks/news/ltimindtree-shares-in-focus-after-clinching-largest-multi-year-deal-in-its-history/articleshow/124353113.cms,2025-10-07 04:18:03
"Rs 11,600 crore heading to Korea? LG dangles a carrot to keep Indian IPO investors hooked",https://economictimes.indiatimes.com/markets/ipos/fpos/rs-11600-crore-heading-to-korea-lg-dangles-a-carrot-to-keep-indian-ipo-investors-hooked/articleshow/124353073.cms,2025-10-07 04:16:01
"Euro Stoxx 50 year-end target set at 5,800 by J.P. Morgan",https://economictimes.indiatimes.com/markets/stocks/news/euro-stoxx-50-year-end-target-set-at-5800-by-j-p-morgan/slideshow/124353332.cms,2025-10-07 04:15:58
